x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,label,gesture_name
0.0,0.0,0.280388,-0.199131,0.452648,-0.520391,0.481907,-0.790341,0.436995,-1.0,0.221113,-0.773791,0.319907,-0.924159,0.332869,-0.681847,0.326282,-0.468118,0.026052,-0.74352,0.146835,-0.86496,0.177433,-0.577792,0.18952,-0.356919,-0.152293,-0.688581,-0.002738,-0.719048,0.026508,-0.450708,0.025513,-0.273495,-0.32641,-0.612391,-0.166183,-0.649888,-0.132048,-0.442858,-0.134031,-0.310418,0,fist
0.0,0.0,0.287122,-0.177081,0.461568,-0.510876,0.492845,-0.79183,0.466678,-1.0,0.21681,-0.786599,0.350313,-0.922936,0.366249,-0.681395,0.356875,-0.480638,0.024873,-0.773732,0.191958,-0.83102,0.213777,-0.550633,0.211268,-0.346524,-0.148683,-0.724146,0.040517,-0.700336,0.06833,-0.432617,0.062918,-0.251214,-0.315802,-0.649289,-0.129705,-0.617875,-0.096925,-0.40107,-0.101495,-0.264632,0,fist
0.0,0.0,0.229445,-0.176297,0.390124,-0.504922,0.436585,-0.78052,0.425451,-1.0,0.240513,-0.722324,0.224894,-0.914731,0.166,-0.719618,0.150207,-0.525166,0.038807,-0.694882,0.020872,-0.874197,-0.007154,-0.633144,0.005034,-0.414195,-0.139521,-0.648791,-0.15674,-0.776603,-0.143969,-0.533343,-0.113052,-0.336643,-0.30059,-0.582924,-0.314829,-0.694736,-0.292502,-0.516686,-0.261051,-0.371716,0,fist
0.0,0.0,0.239913,-0.208439,0.378083,-0.522356,0.374403,-0.783426,0.346752,-1.0,0.143875,-0.758456,0.21684,-0.918221,0.244591,-0.709562,0.249955,-0.519952,-0.033654,-0.716497,0.068702,-0.859113,0.115155,-0.587234,0.136409,-0.380274,-0.204406,-0.648855,-0.070405,-0.733636,-0.023263,-0.452356,-0.009939,-0.264873,-0.37619,-0.554904,-0.223252,-0.621271,-0.165079,-0.424023,-0.15463,-0.287401,0,fist
0.0,0.0,0.239208,-0.189117,0.382754,-0.521445,0.377333,-0.788743,0.355044,-1.0,0.157864,-0.748031,0.230515,-0.899231,0.252088,-0.687601,0.259149,-0.49494,-0.023801,-0.709116,0.083888,-0.842416,0.123163,-0.57451,0.145093,-0.363526,-0.19525,-0.645844,-0.064283,-0.728849,-0.019598,-0.445695,0.000435,-0.250407,-0.363193,-0.555438,-0.216425,-0.614624,-0.158628,-0.415021,-0.138265,-0.274044,0,fist
0.0,0.0,0.237285,-0.200899,0.377592,-0.51721,0.382797,-0.782053,0.353537,-1.0,0.164266,-0.755929,0.230922,-0.917823,0.258419,-0.713224,0.266276,-0.520942,-0.012019,-0.717431,0.082194,-0.86131,0.122768,-0.592408,0.144109,-0.384365,-0.184455,-0.651979,-0.06264,-0.73212,-0.020569,-0.456253,-0.003282,-0.271164,-0.355642,-0.559368,-0.2153,-0.627523,-0.15894,-0.434719,-0.143204,-0.29798,0,fist
0.0,0.0,0.257401,-0.200766,0.405455,-0.515148,0.406607,-0.781494,0.38862,-1.0,0.184503,-0.75735,0.263809,-0.919497,0.280021,-0.712911,0.280586,-0.518217,0.005669,-0.723753,0.109464,-0.879101,0.139595,-0.611487,0.157777,-0.396511,-0.167887,-0.660273,-0.045133,-0.755417,-0.008296,-0.476054,0.010113,-0.283536,-0.342667,-0.564477,-0.20357,-0.639294,-0.14552,-0.441985,-0.122969,-0.298645,0,fist
0.0,0.0,0.252421,-0.196362,0.414086,-0.512258,0.415657,-0.78526,0.373391,-1.0,0.179582,-0.741655,0.244487,-0.909921,0.255954,-0.691777,0.251839,-0.500813,0.000258,-0.70015,0.094885,-0.852551,0.12522,-0.57608,0.137513,-0.367928,-0.172263,-0.635535,-0.05259,-0.745573,-0.01202,-0.459383,0.001202,-0.262957,-0.346164,-0.54448,-0.21343,-0.630574,-0.153619,-0.432725,-0.137193,-0.28999,0,fist
0.0,0.0,0.248887,-0.177119,0.418105,-0.500729,0.440952,-0.774948,0.428755,-1.0,0.213289,-0.756507,0.285487,-0.922489,0.284239,-0.703876,0.270352,-0.50396,0.028454,-0.722081,0.121025,-0.875751,0.136163,-0.601502,0.14617,-0.381826,-0.15033,-0.660965,-0.042484,-0.754114,-0.012128,-0.469795,0.0057,-0.274614,-0.329301,-0.572367,-0.204693,-0.651892,-0.157469,-0.45354,-0.139844,-0.313132,0,fist
0.0,0.0,0.262561,-0.164645,0.432504,-0.487697,0.444443,-0.772699,0.434132,-1.0,0.225102,-0.719941,0.298197,-0.900822,0.294902,-0.681024,0.279199,-0.477273,0.039366,-0.688959,0.134961,-0.853048,0.148316,-0.569422,0.1512,-0.34475,-0.138714,-0.634633,-0.034111,-0.744734,-0.001454,-0.451818,0.013965,-0.250322,-0.322895,-0.55538,-0.204685,-0.628655,-0.146636,-0.424728,-0.120849,-0.284201,0,fist
